,word,candidates
0,word,['candidates']
1,ලදි,['දිල']
2,වගුව,['වගුව']
3,මිල,"['මිළ', ' ලමි']"
4,දින,['නදි']
5,දිය,['යදි']
6,නුග,['ගනු']
7,අයවැය,['අයවැය']
8,දුර,['රදු']
9,හමු,['මුහ']
10,පොම්ප,['පොම්ප']
11,ගාල,['ලගා']
12,සුදුසු,['සුදුසු']
13,තේමා,['මාතේ']
14,කථික,['කථික']
15,පටිපාටි,['පටිපාටි']
16,වගන්ති,['ගන්වති']
17,නිමි,['මිනි']
18,කුකුල්,['කුකුල්']
19,සුරා,['රාසු']
20,විනිමය,['නිමවිය']
21,ක්ලාක්,['ක්ලාක්']
22,දීප,['පදී']
23,ලංසු,['සුලං']
24,පරිපථ,['පරිපථ']
25,ලකී,['කීල']
26,බොක්ක,['කබොක්']
27,වගකිව,['වගකිව']
28,තිරසර,['තිරසර']
29,වගාව,['වගාව']
30,බදාදා,['බදාදා']
31,මන්දිර,['රන්දිම']
32,වාසි,['සිවා']
33,මියගිය,['මියගිය']
34,සේම,['මසේ']
35,එන්ජින්,['එන්ජින්']
36,භාරකාර,['භාරකාර']
37,අන්තිම,['අතින්ම']
38,කපා,['පාක']
39,නන්,['න්න']
40,මගේ,"['මඟේ', ' ගේම']"
41,දන්වමි,['දවමින්']
42,වීදි,['දිවී']
43,නීතිරීති,['නීතිරීති']
44,මිනි,"['මිණි', ' නිමි']"
45,තිස්ස,['සතිස්']
46,සදා,['දාස']
47,වහා,['හාව']
48,ක්ලික්,['ක්ලික්']
49,යෙදිය,['යෙදිය']
50,යවා,['වාය']
51,කලාකරු,['කලාකරු']
52,ලියවිලි,['ලියවිලි']
53,ධෛර්යය,['ධෛර්යය']
54,පාද,['දපා']
55,පියවිය,['පියවිය']
56,මාන,['නමා']
57,රාධා,['ධාරා']
58,වර්ෂාව,['වර්ෂාව']
59,සුරවීර,['සුරවීර']
60,වටා,['ටාව']
61,නදී,['දීන']
62,බාර,['රබා']
63,වැල්ලව,['වැල්වල']
64,නර්තන,['නර්තන']
65,සුන්බුන්,['සුන්බුන්']
66,කිකිළි,['කිකිළි']
67,තිර,['රති']
68,කවි,['වික']
69,වළවල්,['වළවල්']
70,ගයා,['යාග']
71,පිහි,['හිපි']
72,මුල,['ලමු']
73,බිස්නස්,['බිස්නස්']
74,දියණිය,['දියණිය']
75,බුබුළු,['බුබුළු']
76,චංචල,['චංචල']
77,කුකුළු,['කුකුළු']
78,සල්පිල්,['සල්පිල්']
79,ඩබල්,['බඩල්']
